team_size,combination,win_rate,wins,total_games
3,archer + artillery + valkyrie,0.741379,86,116
3,archer + artillery + warlock,0.927928,103,111
3,archer + artillery + wraith,0.633333,76,120
3,archer + assassin + berserker,0.330882,45,136
3,archer + assassin + cleric,0.704348,81,115
3,archer + assassin + colossus,0.28,35,125
3,archer + assassin + guardian,0.29078,41,141
3,archer + assassin + mage,0.518797,69,133
3,archer + assassin + monk,0.327273,36,110
3,archer + assassin + oracle,0.379032,47,124
3,archer + assassin + paladin,0.366972,40,109
3,archer + assassin + rogue,0.263158,30,114
3,archer + assassin + siren,0.38806,52,134
3,archer + assassin + sniper,0.666667,78,117
3,archer + assassin + swordsman,0.282895,43,152
3,archer + assassin + valkyrie,0.396694,48,121
3,archer + assassin + warlock,0.550388,71,129
3,archer + assassin + wraith,0.330709,42,127
3,archer + berserker + cleric,0.595041,72,121
3,archer + berserker + colossus,0.155738,19,122
3,archer + berserker + guardian,0.25,28,112
3,archer + berserker + mage,0.464567,59,127
3,archer + berserker + monk,0.297872,42,141
3,archer + berserker + oracle,0.293651,37,126
3,archer + berserker + paladin,0.347107,42,121
3,archer + berserker + rogue,0.231481,25,108
3,archer + berserker + siren,0.290323,36,124
3,archer + berserker + sniper,0.640625,82,128
3,archer + berserker + swordsman,0.240602,32,133
3,archer + berserker + valkyrie,0.195122,24,123
3,archer + berserker + warlock,0.548077,57,104
3,archer + berserker + wraith,0.293103,34,116
3,archer + cleric + colossus,0.556522,64,115
3,archer + cleric + guardian,0.685185,74,108
3,archer + cleric + mage,0.796748,98,123
3,archer + cleric + monk,0.783019,83,106
3,archer + cleric + oracle,0.803279,98,122
3,archer + cleric + paladin,0.740157,94,127
3,archer + cleric + rogue,0.726496,85,117
3,archer + cleric + siren,0.747899,89,119
3,archer + cleric + sniper,0.942446,131,139
3,archer + cleric + swordsman,0.663636,73,110
3,archer + cleric + valkyrie,0.660714,74,112
3,archer + cleric + warlock,0.904412,123,136
3,archer + cleric + wraith,0.719298,82,114
3,archer + colossus + guardian,0.122137,16,131
3,archer + colossus + mage,0.40678,48,118
3,archer + colossus + monk,0.288,36,125
3,archer + colossus + oracle,0.336134,40,119
3,archer + colossus + paladin,0.265625,34,128
3,archer + colossus + rogue,0.259259,28,108
3,archer + colossus + siren,0.272,34,125
3,archer + colossus + sniper,0.683761,80,117
3,archer + colossus + swordsman,0.152,19,125
3,archer + colossus + valkyrie,0.231481,25,108
